Day_of_the_week,Date,Readers,WC_Pageviews,Product_Clicks,CTR,NYT_HP_Users,NYT_HP_Pageviews,Ratio_WC/NYT
Wednesday,7/14,76894,99553,9886,9.9%,3103960,14242855,0.70%
Thursday,7/15,218714,298553,33472,11.2%,3146798,14097877,2.12%
Friday,7/16,262093,390684,57233,14.6%,3005451,13897691,2.81%
Saturday,7/17,255866,361521,39748,11.0%,2823989,12877267,2.81%
Sunday,7/18,243345,335314,69987,20.9%,2916172,13311426,2.52%
Monday,7/19,225462,309557,64805,20.9%,3221224,14929513,2.07%
Tuesday,7/20,219209,294182,43602,14.8%,3162071,15239251,1.93%
Wednesday,7/21,151490,186584,27237,14.6%,3118938,14397547,1.30%
Thursday,7/22,166452,214402,13971,6.5%,3053057,14391807,1.49%
Friday,7/23,181390,238898,18399,7.7%,2984035,13927765,1.72%
Saturday,7/24,160787,218272,26941,12.3%,2806515,12863101,1.70%
Sunday,7/25,195347,267713,65553,24.5%,2897166,13490095,1.98%
Monday,7/26,203829,265289,46410,17.5%,3196270,15250577,1.74%
Tuesday,7/27,192527,249771,43135,17.3%,3374424,16920188,1.48%
Wednesday,7/28,247930,328649,76325,23.2%,3224198,15478214,2.12%
Thursday,7/29,187763,246492,43387,17.6%,3185423,15521293,1.59%
Friday,7/30,176278,233879,43577,18.6%,3223299,15372334,1.52%
Saturday,7/31,199881,262686,36865,14.0%,2905853,13619770,1.93%
Sunday,8/1,211121,288190,81843,28.4%,2990208,13893674,2.07%
Monday,8/2,249557,343831,57751,16.8%,3196565,15318461,2.24%
Tuesday,8/3,162368,208058,20719,10.0%,3365320,16390257,1.27%
Wednesday,8/4,176447,224206,28420,12.7%,3220031,15407071,1.46%
Thursday,8/5,163106,207704,34036,16.4%,3164860,15144887,1.37%
Friday,8/6,97749,120337,16151,13.4%,3103593,14826989,0.81%
Saturday,8/7,117635,154939,27522,17.8%,2889232,13930191,1.11%
Sunday,8/8,161265,207978,33061,15.9%,3107191,14985570,1.39%
Monday,8/9,192697,248351,18306,7.4%,3252103,16160869,1.54%
Tuesday,8/10,161419,207286,35132,16.9%,3454291,17702302,1.17%
Wednesday,8/11,149591,187532,23086,12.3%,3289564,16282954,1.15%
Thursday,8/12,115273,143113,16542,11.6%,3297562,16693846,0.86%
Friday,8/13,119739,208712,20594,9.9%,3148458,15359722,1.36%
Saturday,8/14,141232,177190,16418,9.3%,3010552,14283668,1.24%
Sunday,8/15,134273,193290,25014,12.9%,3410499,16495676,1.17%
Monday,8/16,166714,209366,28815,13.8%,3823173,19485314,1.07%
Tuesday,8/17,110563,137748,15111,11.0%,3600539,18077623,0.76%
Wednesday,8/18,97139,120021,17098,14.2%,3465763,17754608,0.68%
Thursday,8/19,84025,110609,11928,10.8%,3470245,17971402,0.62%
Friday,8/20,86910,110408,16810,15.2%,3280546,16701650,0.66%
Saturday,8/21,103435,132208,15810,12.0%,3045844,15404042,0.86%
Sunday,8/22,92220,113620,10073,8.9%,3257334,17274379,0.66%
Monday,8/23,108297,134497,29656,22.0%,3415390,18015389,0.75%
Tuesday,8/24,132344,168540,32295,19.2%,3381221,17761538,0.95%
Wednesday,8/25,118863,152663,31720,20.8%,3304542,17128342,0.89%
Thursday,8/26,175061,224999,24207,10.8%,3582324,19026310,1.18%
Friday,8/27,173865,221106,29946,13.5%,3404864,17247894,1.28%
Saturday,8/28,136746,174730,25948,14.9%,3061807,15353608,1.14%
Sunday,8/29,165920,214824,35914,16.7%,3359982,17562639,1.22%
Monday,8/30,157451,199740,35296,17.7%,3567550,18940505,1.05%
Tuesday,8/31,171568,218665,31324,14.3%,3431686,17667739,1.24%
Wednesday,9/1,139569,175641,65707,37.4%,3408831,17350697,1.01%
Thursday,9/2,130230,162488,45144,27.8%,3525229,18125557,0.90%
Friday,9/3,171741,230440,51722,22.4%,3200641,16051478,1.44%
Saturday,9/4,137465,181844,51348,28.2%,2900963,13936292,1.30%
Sunday,9/5,78935,100926,22113,21.9%,2983567,14797145,0.68%
Monday,9/6,114881,147120,20803,14.1%,3152943,15553610,0.95%
Tuesday,9/7,182536,242162,23477,9.7%,3335062,16516532,1.47%
Wednesday,9/8,133075,172441,14754,8.6%,3259607,16126259,1.07%
Thursday,9/9,142698,181921,33975,18.7%,3269477,16571973,1.10%
Friday,9/10,160143,205850,28449,13.8%,3149085,15286418,1.35%
Saturday,9/11,190122,256684,20652,8.0%,2966312,13975511,1.84%
Sunday,9/12,163682,217984,19090,8.8%,2995207,14235441,1.53%
Monday,9/13,120532,152156,17851,11.7%,3272835,16087679,0.95%
Tuesday,9/14,119941,149444,16504,11.0%,3349078,17242870,0.87%
Wednesday,9/15,127788,160287,13459,8.4%,3372555,17222315,0.93%
Thursday,9/16,201798,268804,14483,5.4%,3244586,16323674,1.65%
Friday,9/17,118987,155605,16136,10.4%,3192488,16184883,0.96%
Saturday,9/18,149292,192289,21139,11.0%,2943572,14365870,1.34%
Sunday,9/19,171849,219779,21279,9.7%,3070632,14687805,1.50%
Monday,9/20,172828,221020,29843,13.5%,3425156,17451610,1.27%
Tuesday,9/21,205096,271427,25545,9.4%,3351741,18195975,1.49%
Wednesday,9/22,165143,219355,20223,9.2%,3364260,18067611,1.21%
Thursday,9/23,117840,149292,19622,13.1%,3191438,17463629,0.85%
Friday,9/24,130963,168026,28842,17.2%,3166627,17353406,0.97%
Saturday,9/25,197893,270415,36569,13.5%,2881702,15154015,1.78%
Sunday,9/26,208633,271003,33014,12.2%,3054206,15904743,1.70%
Monday,9/27,140338,176332,23523,13.3%,3398860,18972019,0.93%
Tuesday,9/28,135091,172730,32055,18.6%,3299959,18173935,0.95%
Wednesday,9/29,143719,190526,30743,16.1%,3229845,17653420,1.08%
Thursday,9/30,179531,233263,29926,12.8%,3204541,17786543,1.31%
Friday,10/1,143161,179887,50869,28.3%,3091738,16944769,1.06%
Saturday,10/2,122413,153662,45379,29.5%,2817465,14584578,1.05%
Sunday,10/3,137407,176590,33451,18.9%,2985783,15271491,1.16%
Monday,10/4,125541,157379,24418,15.5%,3642541,19978689,0.79%
Tuesday,10/5,107469,135415,24344,18.0%,3296851,18064781,0.75%
Wednesday,10/6,117632,148474,30311,20.4%,3245276,17478136,0.85%
Thursday,10/7,109965,140474,23057,16.4%,3173212,17445865,0.81%
Friday,10/8,132674,170417,24817,14.6%,3045878,15935297,1.07%
Saturday,10/9,121002,155437,13384,8.6%,2783153,14035156,1.11%
Sunday,10/10,152119,193278,19210,9.9%,2902595,14819583,1.30%
Monday,10/11,107057,133457,16010,12.0%,3260750,17700688,0.75%
Tuesday,10/12,119913,149481,17550,11.7%,3295951,17859578,0.84%
Wednesday,10/13,161134,212943,38855,18.2%,3199106,17094891,1.25%
Thursday,10/14,179398,229616,21439,9.3%,3177332,17550680,1.31%
Friday,10/15,181465,230285,24064,10.4%,3071963,16368147,1.41%
Saturday,10/16,143638,183915,32668,17.8%,2781491,14494898,1.27%
Sunday,10/17,130729,162613,46388,28.5%,2903162,15229018,1.07%
Monday,10/18,105673,125574,26928,21.4%,3373197,18261425,0.69%
Tuesday,10/19,120252,146899,14011,9.5%,3163163,17039161,0.86%
Wednesday,10/20,171054,213332,30819,14.4%,3133586,17020882,1.25%
Thursday,10/21,116258,139733,15281,10.9%,3167813,17316729,0.81%
Friday,10/22,109146,130979,10045,7.7%,3238211,17747022,0.74%
Saturday,10/23,138477,170097,11810,6.9%,2876119,15116021,1.13%
Sunday,10/24,104377,126298,19300,15.3%,2916255,15473790,0.82%
Monday,10/25,139751,183258,28231,15.4%,3240131,17959066,1.02%
Tuesday,10/26,179215,238545,37235,15.6%,3138460,17184257,1.39%
Wednesday,10/27,119369,149642,25136,16.8%,3072542,16965603,0.88%
Thursday,10/28,108867,133033,11331,8.5%,3117803,17360414,0.77%
Friday,10/29,100478,124038,12386,10.0%,3004652,16276761,0.76%
Saturday,10/30,83443,100372,11879,11.8%,2741454,14343324,0.70%
Sunday,10/31,145544,180627,28747,15.9%,2814308,14464985,1.25%
Monday,11/1,131323,159758,31447,19.7%,3188779,17787837,0.90%
Tuesday,11/2,130734,158492,70355,44.4%,3428588,20462716,0.77%
Wednesday,11/3,128561,160085,38567,24.1%,3524089,20889538,0.77%
Thursday,11/4,152382,192787,35851,18.6%,3094588,16902382,1.14%
Friday,11/5,135410,170626,29747,17.4%,3024747,16357440,1.04%
Saturday,11/6,124545,158680,63851,40.2%,2908029,16049901,0.99%
Sunday,11/7,138575,174956,92211,52.7%,3013385,16246118,1.08%
Monday,11/8,151961,189183,49877,26.4%,3157609,17329997,1.09%
Tuesday,11/9,175925,233626,43044,18.4%,3153714,17519909,1.33%
Wednesday,11/10,144859,185743,36743,19.8%,3137191,17274610,1.08%
Thursday,11/11,118789,148923,35596,23.9%,3070592,16777630,0.89%
Friday,11/12,124492,161094,38683,24.0%,3059592,16939457,0.95%
Saturday,11/13,154480,205221,46671,22.7%,2775964,15017156,1.37%
Sunday,11/14,153636,194995,25843,13.3%,2898554,15531476,1.26%
Monday,11/15,165795,217128,64702,29.8%,3245066,17808294,1.22%
Tuesday,11/16,158496,210821,38037,18.0%,3183777,16855807,1.25%
Wednesday,11/17,152414,199678,28156,14.1%,3184799,17198111,1.16%
Thursday,11/18,121142,148999,25844,17.3%,3149062,16787409,0.89%
Friday,11/19,89489,109339,12253,11.2%,3302467,17673048,0.62%
Saturday,11/20,92634,118959,19613,16.5%,2806638,13674571,0.87%
Sunday,11/21,172840,233379,46538,19.9%,2958047,14551608,1.60%
Monday,11/22,171960,224350,44621,19.9%,3249289,16807554,1.33%
Tuesday,11/23,140468,177368,38151,21.5%,3122942,16320507,1.09%
Wednesday,11/24,148600,201254,91195,45.3%,3072401,16163202,1.25%
Thursday,11/25,239271,315827,135878,43.0%,2782462,13604290,2.32%
Friday,11/26,284504,390403,167923,43.0%,3105465,15777553,2.47%
Saturday,11/27,133235,175416,64838,37.0%,3016191,15220085,1.15%
Sunday,11/28,172403,238994,131799,55.1%,3108739,15657087,1.53%
Monday,11/29,271553,355537,194720,54.8%,3321286,17548880,2.03%
Tuesday,11/30,143215,184342,63653,34.5%,3357809,18148914,1.02%
Wednesday,12/1,97448,119185,34461,28.9%,3378922,18497153,0.64%
Thursday,12/2,169843,223807,46473,20.8%,3246227,17457568,1.28%
Friday,12/3,128059,164308,52532,32.0%,3192411,16633013,0.99%
Saturday,12/4,113781,143666,46740,32.5%,2971339,15399130,0.93%
Sunday,12/5,159393,212388,139236,65.6%,3014812,15566815,1.36%
Monday,12/6,143041,184583,75209,40.7%,3284311,17617189,1.05%
Tuesday,12/7,171671,232319,41939,18.1%,3240368,17168066,1.35%
Wednesday,12/8,177257,223284,56932,25.5%,3197254,17171096,1.30%
Thursday,12/9,195578,247140,78771,31.9%,3197440,16806040,1.47%
Friday,12/10,165308,215439,53749,24.9%,3064524,15877916,1.36%
Saturday,12/11,131782,170858,51636,30.2%,2933307,15061845,1.13%
Sunday,12/12,120418,152502,56625,37.1%,2996433,15024737,1.02%
Monday,12/13,146376,186479,33193,17.8%,3227791,17342792,1.08%
Tuesday,12/14,192638,251453,47561,18.9%,3215283,17629605,1.43%
Wednesday,12/15,154705,199639,86778,43.5%,3211469,17182493,1.16%
Thursday,12/16,122288,157494,65615,41.7%,3226405,17394547,0.91%
Friday,12/17,150229,193704,47406,24.5%,3164899,17338196,1.12%
Saturday,12/18,187338,249713,52821,21.2%,2981644,15683162,1.59%
Sunday,12/19,213912,290738,65247,22.4%,3142189,16542530,1.76%
Monday,12/20,156758,211099,45260,21.4%,3356212,18327066,1.15%
Tuesday,12/21,143587,183095,36339,19.8%,3291217,17930469,1.02%
Wednesday,12/22,114388,140379,18383,13.1%,3224875,17516363,0.80%
Thursday,12/23,119424,145627,24104,16.6%,3147606,17118823,0.85%
Friday,12/24,142609,178106,37078,20.8%,2933620,15733203,1.13%
Saturday,12/25,134971,171960,31438,18.3%,2909738,15558746,1.11%
Sunday,12/26,155797,198206,40667,20.5%,3181351,16456901,1.20%
Monday,12/27,206956,276797,90497,32.7%,3341437,17893390,1.55%
Tuesday,12/28,214695,283065,83096,29.4%,3333577,18441881,1.53%
Wednesday,12/29,237149,324786,117708,36.2%,3311787,17930124,1.81%
Thursday,12/30,199559,277839,90914,32.7%,3274737,17835317,1.56%
Friday,12/31,122250,161332,36025,22.3%,3182536,17405825,0.93%
Saturday,1/1,159469,204129,25972,12.7%,3187835,17692627,1.15%
Sunday,1/2,155341,196555,25246,12.8%,3226941,17621106,1.12%
Monday,1/3,168358,214557,30782,14.3%,3492464,19657722,1.09%
Tuesday,1/4,246280,322248,50053,15.5%,3466290,19398116,1.66%
Wednesday,1/5,192615,255118,57354,22.5%,3484736,19459221,1.31%
Thursday,1/6,135884,180099,47986,26.6%,3514556,19460590,0.93%
Friday,1/7,188349,248671,48056,19.3%,3409753,18413885,1.35%
Saturday,1/8,169845,224519,41044,18.3%,3130374,16796894,1.34%
Sunday,1/9,184598,240504,47160,19.6%,3348687,17966052,1.34%
Monday,1/10,165215,211410,47761,22.6%,3561432,19758293,1.07%
Tuesday,1/11,178743,224429,45714,20.4%,3463763,19009916,1.18%
Wednesday,1/12,176294,226557,36348,16.0%,3429257,18811107,1.20%
Thursday,1/13,221670,296437,30445,10.3%,3429903,19058093,1.56%
Friday,1/14,251315,326291,17026,5.2%,3292417,17825958,1.83%
Saturday,1/15,191040,248031,28177,11.4%,3195048,17242629,1.44%
Sunday,1/16,167735,216354,33999,15.7%,3346924,18016329,1.20%
Monday,1/17,196089,255676,42807,16.7%,3366368,18326700,1.40%
Tuesday,1/18,216546,295642,71715,24.3%,3397330,18140666,1.63%
Wednesday,1/19,183322,238465,55940,23.5%,3481311,19563374,1.22%
Thursday,1/20,132946,167542,34390,20.5%,3430034,18507259,0.91%
Friday,1/21,227918,296784,24490,8.3%,3330917,18161714,1.63%
Saturday,1/22,185021,238448,34760,14.6%,3125109,16389626,1.45%
Sunday,1/23,169800,221841,27351,12.3%,3217399,16732791,1.33%
Monday,1/24,152771,199604,20780,10.4%,3509002,19175745,1.04%
Tuesday,1/25,127267,160901,26088,16.2%,3414271,18408017,0.87%
Wednesday,1/26,144083,180532,30857,17.1%,3423409,18826871,0.96%
Thursday,1/27,153359,197353,42278,21.4%,3291569,17582881,1.12%
Friday,1/28,112854,143577,24251,16.9%,3197351,17215960,0.83%
Saturday,1/29,118350,147041,24642,16.8%,3081390,16324530,0.90%
Sunday,1/30,100970,123162,28270,23.0%,3124041,16522435,0.75%
Monday,1/31,124154,154483,32924,21.3%,3363443,18656946,0.83%
Tuesday,2/1,184485,239601,72367,30.2%,3350785,18353586,1.31%
Wednesday,2/2,175335,226654,62919,27.8%,3318319,18239573,1.24%
Thursday,2/3,130464,162413,38552,23.7%,3313146,18535817,0.88%
Friday,2/4,185153,244722,30110,12.3%,3261972,18245014,1.34%
Saturday,2/5,186199,249591,41553,16.6%,3012779,16397263,1.52%
Sunday,2/6,173217,222926,43510,19.5%,3077250,16283694,1.37%
Monday,2/7,174869,221249,29256,13.2%,3319827,18177319,1.22%
Tuesday,2/8,186066,244771,39396,16.1%,3347795,18611715,1.32%
Wednesday,2/9,134666,168764,23338,13.8%,3226671,17766103,0.95%
Thursday,2/10,150766,188290,20789,11.0%,3288159,18228971,1.03%
Friday,2/11,84998,102449,10599,10.3%,3342877,17809059,0.58%
Saturday,2/12,118040,151601,18087,11.9%,3207812,16518569,0.92%
Sunday,2/13,133677,167013,24870,14.9%,3322756,17139409,0.97%
